epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.915,1.03167,2.95146,3.12509,1.31329,0.00429,0.64091,0.10223,0.04696,0.004,0.54091,0.10062,0.04206,0.80169,2.20198,3.60694,1.1621,3.334e-05,3.334e-05,3.334e-05
2,13.9436,0.79425,2.05984,3.02996,1.15764,0.00405,0.61818,0.30931,0.17408,0.00375,0.51818,0.19216,0.13169,0.79348,2.05631,3.64248,1.13705,7.78489e-05,7.78489e-05,7.78489e-05
3,19.951,0.78491,1.9539,2.82326,1.11973,0.00428,0.64091,0.41461,0.19665,0.00399,0.54091,0.27963,0.17477,0.84563,2.0854,3.65376,1.20578,0.000115756,0.000115756,0.000115756
4,25.5774,0.69263,1.62062,2.54277,1.05217,0.00445,0.66364,0.38288,0.20032,0.00423,0.64091,0.27426,0.17842,0.85949,2.22743,3.58988,1.22199,0.000147063,0.000147063,0.000147063
5,31.2731,0.67726,1.47459,2.1168,1.04827,0.00449,0.66364,0.35502,0.19867,0.00427,0.64091,0.25146,0.16863,0.93195,2.47684,3.50354,1.30448,0.000171768,0.000171768,0.000171768
6,36.8232,0.71926,1.64192,2.25243,1.17371,0.00428,0.64091,0.33321,0.19857,0.00405,0.61818,0.20549,0.1555,1.0122,2.64944,3.43855,1.37616,0.000189871,0.000189871,0.000189871
7,41.9554,0.73481,1.5717,2.09593,1.18163,0.02025,0.55,0.33766,0.19243,0.01934,0.47273,0.2275,0.168,1.07784,2.54072,3.44067,1.37577,0.000201374,0.000201374,0.000201374
8,47.3455,0.69438,1.38822,2.0454,1.05784,0.00402,0.55,0.3538,0.22344,0.00399,0.47273,0.24293,0.17887,1.04998,2.41845,3.36393,1.35775,0.000206275,0.000206275,0.000206275
9,52.6156,0.64551,1.29425,2.07934,1.06227,0.00452,0.64091,0.32005,0.22751,0.00452,0.64091,0.26663,0.19164,0.97506,2.20176,3.36093,1.25813,0.000204574,0.000204574,0.000204574
10,57.6417,0.59887,1.19233,1.86043,1.02807,0.00479,0.61729,0.38376,0.25568,0.00448,0.51729,0.27456,0.19553,0.94487,2.1851,3.35327,1.24774,0.000196273,0.000196273,0.000196273
11,62.6874,0.64573,1.14828,1.80851,1.06109,0.2356,0.49545,0.36365,0.25976,0.20682,0.37273,0.29335,0.20885,0.94453,2.30266,3.26525,1.24351,0.00018137,0.00018137,0.00018137
12,68.848,0.561,1.14711,1.82072,1.00545,0.94703,0.19238,0.33546,0.26504,1,0.21511,0.30465,0.21895,0.92302,2.28652,3.27974,1.21178,0.000159865,0.000159865,0.000159865
13,73.9944,0.61329,1.15221,1.78171,0.98306,0.9332,0.13636,0.35087,0.27751,1,0.15762,0.31888,0.2228,0.91331,2.29072,3.20392,1.19233,0.00013176,0.00013176,0.00013176
14,79.2211,0.56069,0.97029,1.65287,0.94975,0.93439,0.15119,0.38333,0.2999,1,0.17391,0.34748,0.24579,0.90294,2.26587,3.15513,1.19105,9.70527e-05,9.70527e-05,9.70527e-05
15,84.3707,0.57247,1.08252,1.69224,1.03075,0.93462,0.15177,0.44649,0.33801,1,0.1745,0.37133,0.26274,0.92485,2.24897,3.08698,1.2454,5.57445e-05,5.57445e-05,5.57445e-05
